"sample_id","site_id","date_id","latitude","longitude","brt20","brt20_aggregate","brt12","richness"
"site_00667_date_00003_monitoring_portugual","00667","0003",1877431.52405046,2790268.34953868,"RT20","RT20","RT12",16
"site_00667_date_00006_naiades","00667","0006",2727597.70987928,3753994.69023055,"RT20","RT20","RT03",51
"site_00669_date_00003_monitoring_portugual","00669","0003",1855323.32908482,2785870.51653876,"RT20","RT20","RT12",11
"site_00670_date_00012_naiades","00670","0012",2732456.77536715,3717590.95323747,"RT4","RT4_5","RT02",57
"site_00670_date_00030_rcs","00670","0030",2493786.39970845,3842382.99970954,"RT4","RT4_5","RT10",48
"site_00671_date_00157_rcs","00671","0157",2493786.39970845,3842382.99970954,"RT2","RT2","RT10",50
"site_00671_date_00243_wiser","00671","0243",3080274.95879038,4324359.78700746,"RT2","RT2","RT06",26
"site_00671_date_00509_monitoring_poland","00671","0509",3321874.62507434,4932539.43615989,"RT2","RT2","RT04",16
"site_00672_date_00124_naiades","00672","0124",2725774.384602,3732282.51465031,"RT3","RT3","RT05",39
"site_00672_date_00234_rcs","00672","0234",2493786.39970845,3842382.99970954,"RT3","RT3","RT10",48
"site_00674_date_00003_monitoring_portugual","00674","0003",1821963.44219285,2786724.33504108,"RT4","RT4_5","RT12",13
"site_00674_date_00510_monitoring_poland","00674","0510",3317124.0197929,4927724.67174641,"RT4","RT4_5","RT02",13
"site_00674_date_00777_naiades","00674","0777",2724630.51225297,3721632.06742232,"RT4","RT4_5","RT04",52
"site_00675_date_00003_monitoring_portugual","00675","0003",1814604.14778654,2801900.84960671,"RT17","RT17","RT11",20
"site_00675_date_01184_naiades","00675","1184",2723407.50966739,3719838.69946795,"RT17","RT17","RT04",27
"site_00676_date_00003_monitoring_portugual","00676","0003",1817547.5278082,2773411.05326611,"RT17","RT17","RT11",13
"site_00676_date_00246_wiser","00676","0246",3072209.08902014,4344030.72555683,"RT17","RT17","RT06",20
"site_00678_date_00003_monitoring_portugual","00678","0003",1759384.02479976,2765564.23114227,"RT17","RT17","RT11",13
"site_00678_date_00246_wiser","00678","0246",3076281.81827148,4341676.12799638,"RT17","RT17","RT06",19
"site_00678_date_00631_monitoring_uk","00678","0631",3350191.9625575,3614199.05037413,"RT17","RT17","RT02",15
"site_00680_date_00116_monitoring_poland","00680","0116",3110467.50216628,5007721.7753421,"RT10","RT8_10_11_18","RT06",24
"site_00681_date_00003_monitoring_portugual","00681","0003",1932857.62427484,2843213.3062511,"RT17","RT17","RT11",10
"site_00681_date_00106_naiades","00681","0106",2692336.73059102,3672472.57706662,"RT17","RT17","RT03",40
"site_00682_date_00241_rcs","00682","0241",2517427.65709035,3893896.3488777,"RT9","RT9","RT09",43
"site_00684_date_00003_monitoring_portugual","00684","0003",1831189.1549503,2762773.75381759,"RT20","RT20","RT12",13
"site_00684_date_00243_rcs","00684","0243",2517427.65709035,3893896.3488777,"RT20","RT20","RT09",28
"site_00688_date_00061_wiser","00688","0061",3045181.35985365,4362863.26953312,"RT20","RT20","RT06",21
"site_00693_date_00363_monitoring_czech2","00693","0363",3086345.14118858,4701529.03945807,"RT10","RT8_10_11_18","RT06",21
"site_00695_date_00232_monitoring_spain","00695","0232",1671501.67557261,2945354.11633303,"RT18","RT8_10_11_18","RT11",13
"site_00697_date_00232_monitoring_spain","00697","0232",1942478.97400026,3361915.29910451,"RT18","RT8_10_11_18","RT11",21
"site_00698_date_00063_rcs","00698","0063",2546658.11728702,3850331.03349224,"RT18","RT8_10_11_18","RT08",45
"site_00698_date_00232_monitoring_spain","00698","0232",1930716.57663287,3365698.67478291,"RT18","RT8_10_11_18","RT11",20
"site_00700_date_00250_rcs","00700","0250",2546658.11728702,3850331.03349224,"RT8","RT8_10_11_18","RT08",33
"site_00704_date_00124_naiades","00704","0124",2738731.26192874,3592802.91340843,"RT15","RT14_15_16","RT02",45
"site_00704_date_00238_monitoring_spain","00704","0238",1978492.90740575,3338178.56701826,"RT15","RT14_15_16","RT10",32
