"Kingdom","Phylum_division","Subphylum","Superclass","Class","Order","Family","Genus","Latin"
"animalia","arthropoda",NA,NA,"branchiopoda","anostraca","unknown (anostraca order)","unknown (anostraca order)","unknown (anostraca order)"
"animalia","mollusca",NA,NA,"gastropoda","unknown (acroloxidae family)","acroloxidae","acroloxus","unknown (acroloxus genus)"
"animalia","mollusca",NA,NA,"bivalvia","unionoida","unionidae","pseudanodonta","unknown (pseudanodonta genus)"
"animalia","nemertea","unknown (nemertea phylum)","unknown (nemertea phylum)","hoplonemertea","monostilifera","prostomatidae","prostoma","unknown (prostoma genus)"
"animalia","porifera","unknown (porifera phylum)","unknown (porifera phylum)","unknown (porifera phylum)","unknown (porifera phylum)","unknown (porifera phylum)","unknown (porifera phylum)","unknown (porifera phylum)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","elmidae","potamophilus","unknown (potamophilus genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","elmidae","macronychus","unknown (macronychus genus)"
"animalia","arthropoda",NA,NA,"insecta","lepidoptera","crambidae","parapoynx","unknown (parapoynx genus)"
"animalia","mollusca",NA,NA,"gastropoda","basommatophora","planorbidae","menetus","unknown (menetus genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","ephydridae","hydrellia","unknown (hydrellia genus)"
"animalia","mollusca",NA,NA,"gastropoda","basommatophora","planorbidae","armiger","unknown (armiger genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","dryopidae","pomatinus","unknown (pomatinus genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","ecnomidae","ecnomus","unknown (ecnomus genus)"
"animalia","arthropoda",NA,NA,"insecta","odonata","aeshnidae","boyeria","unknown (boyeria genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","leptoceridae","setodes","unknown (setodes genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","blephariceridae","blepharicera","unknown (blepharicera genus)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","potamanthidae","potamanthus","unknown (potamanthus genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","dytiscidae","bidessus","unknown (bidessus genus)"
"animalia","arthropoda",NA,NA,"malacostraca","mysida","mysidae","unknown (mysidae family)","unknown (mysidae family)"
"animalia","arthropoda",NA,NA,"malacostraca","mysida","mysidae","hemimysis","unknown (hemimysis genus)"
"animalia","arthropoda",NA,NA,"malacostraca","decapoda","astacidae","austropotamobius","unknown (austropotamobius genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","dryopidae","helichus","unknown (helichus genus)"
"animalia","bryozoa","unknown (bryozoa phylum)","unknown (bryozoa phylum)","gymnolaemata","ctenostomatida","paludicellidae","paludicella","unknown (paludicella genus)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","baetidae","baetopus","unknown (baetopus genus)"
"animalia","arthropoda",NA,NA,"insecta","odonata","gomphidae","ophiogomphus","unknown (ophiogomphus genus)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","baetidae","procloeon","procloeon pulchrum"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","hydrophilidae","hydrochara","unknown (hydrochara genus)"
"animalia","annelida",NA,NA,"clitellata","branchiobdellida","branchiobdellidae","unknown (branchiobdellidae family)","unknown (branchiobdellidae family)"
"animalia","arthropoda",NA,NA,"insecta","plecoptera","taeniopterygidae","brachyptera","unknown (brachyptera genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","hydroptilidae","agraylea","unknown (agraylea genus)"
"animalia","mollusca",NA,NA,"gastropoda","basommatophora","planorbidae","hippeutis","unknown (hippeutis genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","limnephilidae","stenophylax","stenophylax vibex"
"animalia","arthropoda",NA,NA,"malacostraca","amphipoda","gammaridae","echinogammarus","echinogammarus berilloni"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","phryganeidae","trichostegia","unknown (trichostegia genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","hydroptilidae","ptilocolepus","unknown (ptilocolepus genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","hydropsychidae","diplectrona","unknown (diplectrona genus)"
"animalia","arthropoda",NA,NA,"insecta","odonata","gomphidae","onychogomphus","onychogomphus uncatus"
"animalia","arthropoda",NA,NA,"insecta","heteroptera","naucoridae","naucoris","unknown (naucoris genus)"
"animalia","arthropoda",NA,NA,"insecta","lepidoptera","crambidae","elophila","unknown (elophila genus)"
"animalia","mollusca",NA,NA,"gastropoda","basommatophora","planorbidae","bathyomphalus","unknown (bathyomphalus genus)"
"animalia","annelida",NA,NA,"clitellata","branchiobdellida","branchiobdellidae","branchiobdella","unknown (branchiobdella genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","molannidae","molanna","unknown (molanna genus)"
"animalia","arthropoda","unknown (collembola class)","unknown (collembola class)","collembola","unknown (collembola class)","unknown (collembola class)","unknown (collembola class)","unknown (collembola class)"
"animalia","annelida",NA,NA,"clitellata","branchiobdellida","branchiobdellidae","cambarincola","unknown (cambarincola genus)"
"animalia","arthropoda",NA,NA,"insecta","hemiptera","nepidae","ranatra","unknown (ranatra genus)"
"animalia","arthropoda",NA,NA,"insecta","odonata","corduliidae","cordulia","unknown (cordulia genus)"
"animalia","mollusca",NA,NA,"bivalvia","veneroida","pisidiidae","musculium","unknown (musculium genus)"
"animalia","arthropoda",NA,NA,"insecta","lepidoptera","crambidae","acentria","unknown (acentria genus)"
"animalia","arthropoda",NA,NA,"insecta","lepidoptera","crambidae","cataclysta","unknown (cataclysta genus)"
"animalia","annelida",NA,NA,"clitellata","rhynchobdellida","glossiphoniidae","hemiclepsis","unknown (hemiclepsis genus)"
"animalia","arthropoda",NA,NA,"insecta","odonata","coenagrionidae","erythromma","unknown (erythromma genus)"
"animalia","arthropoda",NA,NA,"insecta","odonata","coenagrionidae","ischnura","unknown (ischnura genus)"
